X1,Name,judge_country,number,segment,skater,skater_country,TSS
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,60
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,58
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,60.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,50.6
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,56.5
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,54.3
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,53.7
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,54.5
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,53.2
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,50.8
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,53.2
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Mansourova/Ceska,CZE,54.2
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,44.6
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,47.6
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,48.9
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,47
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,44.8
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,49.9
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,45.3
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,42.9
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Tankova/Zilberberg,ISR,49.6
30,Vladimir CUCHRA,SVK,1,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,121.3
386,Leanna CARON,CAN,2,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,119.1
440,Malgorzata SOBKOW,POL,3,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,124.1
488,Kaoru TAKINO,JPN,4,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,123.3
305,Sharon ROGERS,USA,5,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,123.3
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,124.4
380,Maira ABASOVA,RUS,7,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,123.8
283,Tianyi ZHANG,CHN,8,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,124.4
345,Marta OLOZAGARRE,ESP,9,2018 Olympic Games Ice Dance Free,Papadakis/Cizeron,FRA,122.1
30,Vladimir CUCHRA,SVK,1,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,123.4
386,Leanna CARON,CAN,2,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,124.4
440,Malgorzata SOBKOW,POL,3,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,124.1
488,Kaoru TAKINO,JPN,4,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,124.7
305,Sharon ROGERS,USA,5,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,119.4
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,118.5
380,Maira ABASOVA,RUS,7,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,122.3
283,Tianyi ZHANG,CHN,8,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,119.1
345,Marta OLOZAGARRE,ESP,9,2018 Olympic Games Ice Dance Free,Virtue/Moir,CAN,121.9
30,Vladimir CUCHRA,SVK,1,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,111.6
386,Leanna CARON,CAN,2,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,115.4
440,Malgorzata SOBKOW,POL,3,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,112.8
488,Kaoru TAKINO,JPN,4,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,118.3
305,Sharon ROGERS,USA,5,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,116.5
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,113.9
380,Maira ABASOVA,RUS,7,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,114.9
283,Tianyi ZHANG,CHN,8,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,112
345,Marta OLOZAGARRE,ESP,9,2018 Olympic Games Ice Dance Free,Shibutani/Shibutani,USA,116.5
30,Vladimir CUCHRA,SVK,1,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,111.3
386,Leanna CARON,CAN,2,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,106.5
440,Malgorzata SOBKOW,POL,3,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,113.6
488,Kaoru TAKINO,JPN,4,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,114.9
305,Sharon ROGERS,USA,5,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,106.8
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,116.1
380,Maira ABASOVA,RUS,7,2018 Olympic Games Ice Dance Free,Bobrova/Soloviev,RUS,115.5
